Date,Sev2,Sev3,Sev4,To Verify,Total Open Defects,Total Bugs
2012-02-25,1,86,53,192,140,1478
2012-02-26,1,92,53,162,146,1478
2012-02-27,1,92,55,147,148,1485
2012-02-28,1,75,52,165,128,1486
2012-02-29,2,77,48,116,127,1498
2012-03-01,3,66,42,85,111,1507
2012-03-02,1,68,43,79,112,1512
2012-03-03,1,68,43,79,112,1512
2012-03-04,1,69,44,67,114,1512
2012-03-05,1,60,40,79,101,1518
2012-03-06,0,60,36,87,96,1522
2012-03-07,0,52,31,102,83,1531
2012-03-08,1,52,24,102,77,1544
2012-03-09,1,53,24,104,78,1547
2012-03-10,1,52,24,105,77,1547
2012-03-11,1,52,24,105,77,1547
2012-03-12,1,55,23,58,79,1555
2012-03-13,1,53,25,61,79,1566
2012-03-14,0,48,24,65,72,1569
2012-03-15,0,44,20,68,64,1574
2012-03-16,0,39,16,79,55,1579
2012-03-17,0,39,16,79,55,1579
2012-03-18,0,40,17,63,57,1579
2012-03-19,0,39,16,52,55,1581
2012-03-20,0,39,16,52,55,1583
2012-03-21,0,40,14,58,54,1587
2012-03-22,0,44,17,57,61,1594
2012-03-23,0,43,17,60,60,1596
2012-03-24,0,43,17,60,60,1596
2012-03-25,0,43,17,60,60,1596
2012-03-26,0,53,20,60,73,1610
2012-03-27,0,50,21,55,71,1617
2012-03-28,0,54,22,52,76,1619
2012-03-29,0,68,24,35,92,1632
2012-03-30,0,73,26,39,99,1649
2012-03-31,0,73,26,39,99,1649
2012-04-01,1,72,26,39,99,1650
2012-04-02,1,79,29,38,109,1658
2012-04-03,2,86,33,35,121,1670
2012-04-04,0,83,41,38,124,1682
2012-04-05,0,89,41,39,130,1692
2012-04-06,0,92,43,41,135,1698
2012-04-07,0,92,43,41,135,1698
2012-04-08,0,97,45,41,142,1706
2012-04-09,0,95,49,39,144,1714
2012-04-10,0,92,48,35,140,1719
2012-04-11,0,91,51,30,142,1727
2012-04-12,1,91,53,30,145,1730
2012-04-13,1,95,55,32,151,1738
2012-04-14,1,93,55,34,149,1738
2012-04-15,1,94,55,33,150,1739
2012-04-16,1,89,59,42,149,1750
2012-04-17,1,93,64,46,158,1765
2012-04-18,2,105,66,30,173,1776
2012-04-19,2,105,67,35,174,1782
2012-04-20,2,104,66,34,172,1785
2012-04-21,2,104,66,34,172,1785
2012-04-22,2,96,64,42,162,1785
2012-04-23,1,92,63,47,156,1786
2012-04-24,1,98,64,44,163,1791
2012-04-25,1,100,65,39,166,1795
2012-04-26,2,98,69,34,169,1798
2012-04-27,2,98,68,37,168,1800
2012-04-28,2,98,68,37,168,1800
2012-04-29,2,98,68,31,168,1800
2012-04-30,2,99,69,29,170,1804
2012-05-01,2,96,68,30,166,1804
2012-05-02,1,102,68,30,171,1809
2012-05-03,1,103,68,29,172,1810
2012-05-04,1,103,68,27,172,1810
2012-05-05,1,103,68,27,172,1810
2012-05-06,1,103,68,22,172,1810
2012-05-07,2,105,71,20,178,1818
2012-05-08,2,107,71,20,180,1820
2012-05-09,2,109,71,20,182,1821
2012-05-10,2,104,69,28,175,1824
2012-05-11,2,108,69,34,179,1836
2012-05-12,2,109,68,35,179,1836
2012-05-13,2,109,68,26,179,1836
2012-05-14,2,111,68,26,181,1838
2012-05-15,2,112,63,37,177,1845
2012-05-16,2,107,63,37,172,1845
2012-05-17,2,109,63,32,174,1847
2012-05-18,1,121,63,30,185,1859
2012-05-19,1,121,63,30,185,1859
2012-05-20,1,118,66,31,185,1860
2012-05-21,1,115,65,44,181,1869
2012-05-22,1,104,60,58,165,1870
2012-05-23,1,99,60,62,160,1870
2012-05-24,1,96,61,65,158,1870
2012-05-25,1,94,61,68,156,1872
2012-05-26,1,94,61,68,156,1872
2012-05-27,1,96,61,63,158,1872
2012-05-28,1,98,61,61,160,1875
2012-05-29,1,99,61,61,161,1876
2012-05-30,1,107,62,59,170,1887
2012-05-31,2,113,62,59,177,1895
2012-06-01,2,120,62,53,184,1902
2012-06-02,2,120,62,53,184,1902
2012-06-03,2,120,62,52,184,1902
2012-06-04,2,120,63,53,185,1906
2012-06-05,2,120,63,52,185,1905
2012-06-06,1,127,64,52,192,1916
2012-06-07,1,133,64,52,198,1922
2012-06-08,1,134,64,52,199,1923
2012-06-09,1,134,64,52,199,1923
2012-06-10,1,135,64,53,200,1925
2012-06-11,2,133,64,57,199,1928
2012-06-12,4,121,64,72,189,1934
2012-06-13,4,124,65,75,193,1941
2012-06-14,4,121,67,79,192,1945
2012-06-15,6,121,67,79,194,1947
2012-06-16,6,121,67,79,194,1947
2012-06-17,5,121,67,76,193,1947
2012-06-18,6,126,67,75,199,1954
2012-06-19,6,140,67,75,213,1968
2012-06-20,5,141,68,80,214,1977
2012-06-21,4,142,68,83,214,1981
2012-06-22,4,141,67,90,212,1988
2012-06-23,4,141,67,90,212,1988
2012-06-24,4,141,67,90,212,1988
2012-06-25,4,136,66,96,206,1988
2012-06-26,4,142,65,97,211,1995
2012-06-27,4,143,62,94,209,2005
2012-06-28,4,143,65,83,212,2008
2012-06-29,4,139,61,81,204,2011
2012-06-30,4,139,61,81,204,2011
